PlotKey	DTVISIT	RECCOUNT	BSOILCOVER	TFOLCOVER	INVAFC	INVAGC	DTLOADED	wid	satvi0509	b2	b3	b4	b5	b6	b7	coords.x1	coords.x2
1406031407551000	6/3/2014	0	17.33	26	0	0	9/1/2014	60	750	1255	1387	1768	2819	3321	2672	-1412411.627	64510.05241
1407141539029380	7/14/2014	0	19.33	29.33	0	0	9/1/2014	61	686	1646	1857	2314	3416	4154	3277	-1401602.961	122851
1407150736358940	7/15/2014	0	9.33	52.67	0	0	9/1/2014	62	777	1451	1647	1920	3043	3662	3041	-1406406.337	94895.78124
140716091030723	7/16/2014	0	18.67	42.67	0	0	9/1/2014	63	1106	1270	1339	1645	2820	3350	2743	-1431816.813	94661.61235
1407231640035200	7/23/2014	0	51.33	19.33	0	0	9/1/2014	64	-377	1506	1850	2803	3681	3889	3390	-1326843.184	108454.9301
140724091655910	7/24/2014	0	32	25.33	0	0	9/1/2014	65	497	1209	1351	2202	3099	3874	3339	-1312166.499	78420.55751
1407241137004100	7/24/2014	0	28	41.33	0	3.33	9/1/2014	66	204	1519	1804	2467	3561	4052	3444	-1314973.485	83482.37321
1407241356428000	7/24/2014	0	8.67	42	0	3.33	9/1/2014	67	393	1541	1866	2483	3524	4216	3461	-1316657.916	86520.31602
1407250915459070	7/25/2014	0	16	15.33	0	1.33	9/1/2014	68	303	1413	1660	2722	3838	4825	4197	-1310734.324	87418.68287
1407251139267450	7/25/2014	0	60.67	19.33	0	0	9/1/2014	69	261	1415	1819	2973	4362	5050	4524	-1310305.62	90112.16065
140725151004184	7/25/2014	0	60.67	29.33	1.33	0	9/1/2014	70	99	1285	1514	2188	3459	3574	3241	-1320609.347	88898.20979
1407251625478050	7/25/2014	0	32.67	45.33	0	0	9/1/2014	71	680	1354	1609	2208	3289	4004	3447	-1322419.43	91127.60974
1407261046387760	7/26/2014	0	11.33	10	0	0	9/1/2014	72	135	1488	1784	2778	4122	4761	4272	-1324858.658	111821.5192
1407270846374430	7/27/2014	0	46.67	30	0	0	9/1/2014	73	333	1309	1543	2305	3459	3984	3509	-1334044.189	126232.1571
1407271207387210	7/27/2014	0	34	32.67	0	0	9/1/2014	74	317	1323	1607	2475	3651	4384	4005	-1336878.715	122082.1327
140727143604960	7/27/2014	0	40	20	0	0	9/1/2014	75	210	1507	1775	2561	3870	4259	3774	-1339131.442	121523.9143
1407280855261200	7/28/2014	0	16.67	28.67	0	0	9/1/2014	76	352	1370	1653	2613	3887	4740	4209	-1322583.786	116993.3267
140728145010630	7/28/2014	0	14	14.67	0	0	9/1/2014	77	370	1517	1723	2181	3106	3702	3115	-1343084.147	136936.7612
1407281623492690	7/28/2014	0	23.33	44	0	0	9/1/2014	78	660	1429	1681	2251	3457	4276	3662	-1347184.521	138540.91
1407290825383140	7/29/2014	0	30.67	40.67	0	0	9/1/2014	79	679	1254	1282	1386	2409	2541	2081	-1380801.923	126588.5942
1407291059234150	7/29/2014	0	4	79.33	0	0	9/1/2014	80	1328	1218	1210	1284	2201	2909	2345	-1361382.078	127111.1624
1407291523223310	7/29/2014	0	23.33	24	0	0	9/1/2014	81	75	1403	1652	2346	3261	3500	3095	-1342603.512	126703.4261
1406041041329430	6/4/2014	0	7.33	54.67	0	16	9/1/2014	82	1024	1404	1452	1699	2617	3460	2645	-1407318.89	64606.57153
1406051001403690	6/5/2014	0	30.67	41.33	0.67	0	9/1/2014	83	799	1305	1497	2046	3081	3807	3119	-1402514.64	74840.48837
1406091624199500	6/9/2014	0	38.67	20.67	8	0	9/1/2014	84	632	1629	1902	2354	3091	4367	3485	-1359047.044	71158.11319
1406100927447850	6/10/2014	0	43.33	27.33	0	0	9/1/2014	85	346	1458	1781	2534	3469	4283	3627	-1363680.128	72096.44635
1406021135463420	6/2/2014	0	26	42	0	0	9/1/2014	86	601	1308	1393	1717	2556	3125	2714	-856087.1502	-46946.48901
1406030838068590	6/3/2014	0	30	40	2.67	0	9/1/2014	87	609	1301	1400	1777	2612	3281	2868	-855234.8108	-43822.93557
1406040820185840	6/4/2014	0	28	30	1.33	0	9/1/2014	88	565	1436	1565	1955	2810	3425	2918	-851636.4075	-39075.06761
1406050804027800	6/5/2014	0	34	35.33	0	0	9/1/2014	89	606	1333	1441	1810	2675	3190	2824	-853432.3723	-38143.9415
1406100650423330	6/10/2014	0	34	42	0	0	9/1/2014	90	428	1342	1467	1842	2649	3159	2718	-853450.2046	-37564.59872
1406100721026630	6/11/2014	0	34.67	25.33	0	0	9/1/2014	91	722	1380	1499	1883	2784	3629	3199	-853611.7443	-41632.88215
1406121245222120	6/12/2014	0	20.67	44	0	0	9/1/2014	92	448	1329	1472	1887	2646	3295	2949	-856634.8933	-42206.05706
1406131012092840	6/13/2014	0	31.33	40.67	1.33	0	9/1/2014	93	560	1432	1523	1899	2864	3379	2958	-856884.2094	-38920.6783
1406131452589310	6/13/2014	0	30	44	2.67	0	9/1/2014	94	895	1365	1457	1767	2694	3339	2899	-858118.5917	-45850.54682
1407030953002480	7/3/2014	0	12.67	63.33	0	0	9/1/2014	95	983	1021	974	1028	2046	2202	1607	-876894.4255	-43278.0869
1407070932534720	7/7/2014	0	42.67	38	1.33	0	9/1/2014	96	561	1311	1420	1727	2516	3071	2530	-859741.1489	-62065.09708
1407071318052790	7/7/2014	0	9.33	81.33	9.33	0	9/1/2014	97	855	1138	1105	1188	2064	2739	2013	-860397.7086	-62885.68675
140708100406866	7/8/2014	0	21.33	48.67	0	0	9/1/2014	98	512	1360	1419	1637	2427	2842	2374	-874711.9866	-37235.47364
140709105921979	7/9/2014	0	18	63.33	0	0	9/1/2014	99	818	1244	1287	1485	2280	2873	2278	-859617.5659	-60366.18958
1407101009429500	7/10/2014	0	17.33	55.33	0	0	9/1/2014	100	852	1002	956	990	1967	2209	1660	-876444.3266	-43296.19298
1407101353208320	7/10/2014	0	16	57.33	0	0	9/1/2014	101	895	1013	977	1042	1975	2295	1711	-876369.2916	-44086.15273
1407141007107030	7/14/2014	0	14	62.67	10	0	9/1/2014	102	918	1050	1008	1086	1910	2254	1810	-855262.2545	-46363.12931
1407141429452600	7/14/2014	0	3.33	60.67	0	0	9/1/2014	103	1048	1047	1007	1039	1977	2127	1670	-855922.8988	-44425.00916
1407151021185400	7/15/2014	0	33.33	53.33	0	0	9/1/2014	104	936	1195	1203	1378	2191	2821	2446	-887762.6665	-27942.43919
1409171025018290	9/17/2014	0	38	54	9.33	0	9/1/2014	105	366	1529	1704	2103	3008	3481	2903	-855727.1312	-32111.70045
1409171401078330	9/17/2014	0	10	84.67	8.67	0	9/1/2014	106	777	1447	1612	2017	2947	3631	3120	-855632.3813	-32395.64854
1409181020548890	9/18/2014	0	42	29.33	0	0	9/1/2014	107	1140	1049	976	1101	1710	2643	2442	-852146.6374	-42649.86513
1405291453433610	5/30/2014	0	18.67	52.67	14	0	9/1/2014	108	606	1329	1456	1842	2737	3402	2985	-855033.0027	-46522.81713
1406161036145840	6/16/2014	0	11.33	14.67	0.67	0	9/1/2014	109	1177	1030	971	1037	1891	2383	1744	-861744.4667	-45426.12038
1406171000306830	6/17/2014	0	30	45.33	1.33	0	9/1/2014	110	571	1298	1366	1623	2386	2847	2443	-856276.8024	-42967.76927
1406180655532400	6/18/2014	0	16	22	0.67	0	9/1/2014	111	952	1180	1228	1386	2304	2680	2213	-875297.8806	-44421.01124
1406180659093100	6/18/2014	0	14.67	32	0	0	9/1/2014	112	749	995	936	952	1820	1920	1434	-874802.6	-45337.11966
1406191040523360	6/19/2014	0	32	44	0	0	9/1/2014	113	519	1419	1577	1979	2927	3535	3056	-868809.5594	-42231.47966
1406191446472490	6/19/2014	0	34.67	48	5.33	0	9/1/2014	114	886	1240	1280	1418	2218	2876	2441	-859887.1957	-48406.82082
1408081001457060	8/8/2014	0	25.33	40	0	0	9/1/2014	115	914	1141	1138	1294	2052	2586	2186	-855229.2045	-46796.36123
1408131006433620	8/13/2014	0	30.67	50	0	0	9/1/2014	116	563	1284	1353	1580	2387	2762	2339	-875438.6517	-36285.81105
140813143955212	8/13/2014	0	25.33	70	0	0	9/1/2014	117	754	1229	1248	1436	2155	2705	2330	-880264.7878	-41527.11077
140814102557336	8/14/2014	0	43.33	34.67	0	0	9/1/2014	118	464	1370	1467	1806	2544	3133	2716	-855664.9004	-34203.66643
1408190943475370	8/19/2014	0	50.67	36.67	0.67	0	9/1/2014	119	221	1558	1727	2137	2984	3412	2890	-873988.4065	-17340.11302
1408200820338040	8/20/2014	0	44.67	27.33	1.33	0	9/1/2014	120	399	1397	1511	1858	2650	3088	2655	-876485.5266	-17958.15497
1408200900312720	8/20/2014	0	33.33	42	0.67	0	9/1/2014	121	601	1299	1357	1632	2269	3015	2689	-866918.8068	-32208.41339
1408201000226810	8/20/2014	0	32.67	64.67	1.33	0	9/1/2014	122	290	1443	1605	2027	2892	3306	2896	-874166.1531	-22700.56702
1408210946335790	8/21/2014	0	35.33	42	0.67	0	9/1/2014	123	413	1399	1491	1799	2595	2962	2524	-873042.125	-18360.20811
1408211337533120	8/21/2014	0	46.67	40	13.33	0	9/1/2014	124	366	1469	1644	2042	2956	3264	2881	-885314.498	-18079.97761
1406230944497010	6/26/2014	0	16.67	58	0	0	9/1/2014	125	655	1325	1326	1514	2479	3093	2499	-885223.6102	-29698.52906
1406231337556920	6/24/2014	0	25.33	44	0	0	9/1/2014	126	850	1447	1507	1760	2738	3410	2790	-881583.0193	-31924.25522
1406241028166480	6/26/2014	0	37.33	39.33	3.33	0	9/1/2014	127	751	1165	1201	1441	2175	2776	2453	-855292.8976	-46686.47092
1406251015318620	6/25/2014	0	38	40.67	0.67	0	9/1/2014	128	614	1312	1387	1648	2469	2938	2484	-873535.7579	-36357.15453
1406251335105200	6/25/2014	0	20.67	66.67	0	0	9/1/2014	129	587	1429	1561	1892	2795	3221	2683	-873693.6728	-36943.30983
1407010945546200	7/1/2014	0	30.67	49.33	6	0	9/1/2014	130	933	1379	1497	1761	3025	3682	2900	-879037.3739	-39754.65025
1407020919234630	7/2/2014	0	45.33	34	0	0	9/1/2014	131	355	1290	1382	1721	2535	3027	2595	-859496.0492	-61167.49336
1407021325321400	7/2/2014	0	28.67	52	10.67	0	9/1/2014	132	639	1326	1430	1719	2612	3130	2553	-859032.3995	-59361.66085
1407241045418080	7/24/2014	0	28	53.33	0	0	9/1/2014	133	589	1318	1361	1595	2460	2872	2429	-873960.794	-37295.45633
140724140753787	7/24/2014	0	16	76.67	0	0	9/1/2014	134	603	1435	1518	1764	2659	3133	2524	-873887.5397	-37441.10663
1407251035502420	7/25/2014	0	51.33	44.67	0	0	9/1/2014	135	169	1517	1746	2230	3109	3464	3024	-862158.2453	-33209.80593
1407251410371750	7/25/2014	0	22	55.33	2	0	9/1/2014	136	836	1257	1268	1441	2339	2822	2441	-861280.1029	-37453.07986
140731113227836	7/31/2014	0	64.67	26.67	0.67	0	9/1/2014	137	212	1596	1783	2197	2974	3223	2704	-874349.5882	-15571.22428
1408070954447470	8/7/2014	0	62.67	28	0	0	9/1/2014	138	369	1426	1600	2010	2922	3403	3030	-854632.9617	-46110.06969
140807135036994	8/7/2014	0	32	60	0	0	9/1/2014	139	685	1148	1189	1448	2244	2704	2374	-854979.4383	-47289.45904
1408251029394740	8/25/2014	0	16	56.67	0	0	9/1/2014	140	757	946	879	856	1786	1826	1330	-876201.401	-42708.50913
1408251425251800	8/25/2014	0	11.33	56	0	0	9/1/2014	141	610	1039	951	936	1955	1943	1388	-875828.5431	-43184.39578
1408261021364110	8/26/2014	0	21.33	49.33	0	0	9/1/2014	142	113	1471	1541	1807	2381	2690	2292	-855304.5931	-23883.35198
140902102300120	9/2/2014	0	34	50.67	0.67	0	9/1/2014	143	428	1346	1399	1650	2496	2771	2328	-868316.7681	-34487.05704
1409021340077900	9/2/2014	0	38.67	57.33	0	0	9/1/2014	144	239	1627	1855	2233	3259	3476	2879	-868242.7838	-35648.63389
1409031037501420	9/3/2014	0	23.33	56.67	0	0	9/1/2014	145	530	1376	1442	1648	2431	2829	2359	-870539.2946	-35123.06614
1409031352196460	9/3/2014	0	37.33	54.67	0	0	9/1/2014	146	821	1163	1130	1245	2029	2524	2134	-869889.3544	-34218.4079
1409081210119390	9/8/2014	0	13.13	58.75	0	0	9/1/2014	147	669	1317	1346	1537	2315	2814	2296	-868634.7401	-37646.46586
140910113851228	9/10/2014	0	17.33	52.67	0	0	9/1/2014	148	805	1051	1030	1138	1892	2290	1899	-891738.5499	-12704.36904
1409111113414530	9/11/2014	0	27.33	54	0.67	0	9/1/2014	149	350	1473	1599	1947	2690	3125	2690	-863110.2904	-28013.35461
1409151048032160	9/15/2014	0	6.67	62	15.33	0	9/1/2014	150	1262	1208	1179	1309	2310	2944	2171	-867949.0449	-37875.37924
1409161053288610	9/16/2014	0	60.67	30	2	0	9/1/2014	151	-7	1587	1814	2284	3148	3596	3234	-858244.4119	-34303.48117
1409161354055420	9/16/2014	0	32.67	62	0	0	9/1/2014	152	560	1310	1392	1701	2514	2957	2671	-860375.9251	-35945.27822
1408041455185730	8/5/2014	0	40	50	0	6	9/1/2014	310	784	1469	1552	1717	2781	3187	2436	-1056063.17	385088.9994
1408061003348200	8/6/2014	0	5.33	86.67	0	59.33	9/1/2014	311	1067	1198	1224	1445	2704	2990	2134	-1093981.035	387988.4743
1408061450511820	8/6/2014	0	10	82.67	0	66	9/1/2014	312	987	1211	1245	1495	2567	3170	2507	-1095926.394	374501.4293
1408071031024710	8/7/2014	0	0	97.33	0	0	9/1/2014	313	1157	1188	1126	974	3219	1662	865	-1084316.862	389234.0628
1406241207385870	6/24/2014	0	6	64.67	0	6.67	9/1/2014	314	1073	906	815	743	2125	1838	1117	-1017711.496	358832.9053
1406251039494520	6/25/2014	0	0.67	94	0	0	9/1/2014	315	950	997	941	904	2639	1934	1335	-1006378.556	351305.4128
1406261019177930	6/26/2014	0	0	100	0	84	9/1/2014	316	1117	1128	1168	1042	3696	2438	1507	-1022436.05	374354.5708
1406301051031200	6/30/2014	0	21.33	63.33	0	6.67	9/1/2014	317	630	1506	1791	2022	3025	3436	2733	-1031931.412	361051.4186
1406301548392400	6/30/2014	0	7.33	86.67	0	38.67	9/1/2014	318	788	1251	1288	1464	2394	2721	2128	-1057692.292	370705.584
1407021132572330	7/2/2014	0	2.67	54.67	0	30.67	9/1/2014	319	1177	1168	1224	1365	2437	2936	2269	-1077849.897	368905.608
1407111035414210	7/11/2014	0	16	76	0	16.67	9/1/2014	320	721	1447	1614	1931	2776	3483	2651	-1058000.272	374885.003
1407230906254680	7/23/2014	0	11.33	68.67	0	5.33	9/1/2014	321	1394	1159	1126	1291	2370	2991	2353	-1078187.275	397974.9312
140905110335499	9/5/2014	0	13.33	45.33	0	0.67	9/1/2014	322	877	1301	1391	1534	2579	2889	2243	-1045203.898	385098.5748
1407140948032790	7/14/2014	0	5.33	90.67	0	50	9/1/2014	323	1080	1245	1290	1502	2572	2979	2172	-1034976.98	364672.0758
1407171103135880	7/17/2014	0	42	37.33	0	3.33	9/1/2014	324	134	1595	1750	2005	2707	3161	2478	-1074921.306	364580.6272
1407291024481560	7/29/2014	0	30.67	48	0	5.33	9/1/2014	325	273	1764	2118	2490	3444	4077	3149	-1055253.804	375029.6747
140729134549469	7/29/2014	0	35.33	46	0	0.67	9/1/2014	326	588	1790	1968	2285	3446	3943	3123	-1056034.011	377842.0144
140730114006245	7/30/2014	0	20	66	0	8	9/1/2014	327	916	3420	3426	3636	4411	1543	1212	-1059332.807	396970.6557
1407311124274430	7/31/2014	0	50	35.33	0	0	9/1/2014	328	221	1752	2051	2344	3199	3577	2884	-1050286.46	381873.3685
140804103744660	8/4/2014	0	6.67	81.33	0	1.33	9/1/2014	329	837	1076	1020	993	2327	1948	1458	-1042916.033	388389.334
1408201009096740	8/20/2014	0	0	100	0	97.33	9/1/2014	330	1500	1101	1089	1406	3057	3237	2127	-1073248.079	377796.6754
1408201615133750	8/26/2014	0	8	85.33	0	60	9/1/2014	331	912	1226	1315	1586	2895	2539	1991	-1064803.52	371254.5998
1408211123035900	8/21/2014	0	18	62	0	30.67	9/1/2014	332	843	1246	1275	1502	2488	3069	2180	-1072750.23	373500.2053
140826132817201	8/26/2014	0	27.33	50	0.67	26	9/1/2014	333	394	1595	1776	2061	2888	3251	2550	-1077548.274	365739.1239
1409021109521130	9/2/2014	0	11.33	83.33	0	32.67	9/1/2014	334	530	1520	1847	2224	3000	3788	2987	-1087887.565	380751.6951
1409031059162500	9/3/2014	0	4.67	88.67	0	50	9/1/2014	335	1206	1319	1368	1571	2709	2849	2270	-1076104.706	383422.0084
1409041105201090	9/4/2014	0	16.67	52	0	8.67	9/1/2014	336	691	1307	1429	1565	2489	2878	2237	-1066681.349	370312.6039
140723155130225	7/23/2014	0	8	62	0	1.33	9/1/2014	337	897	1257	1325	1523	2618	2835	2325	-1086583.846	401279.8712
1407240954165850	7/24/2014	0	4.67	77.33	0	0	9/1/2014	338	1186	1299	1204	1134	2566	2102	1453	-1093519.247	400493.4386
1407281124062140	7/28/2014	0	12	32.67	0	9.33	9/1/2014	339	671	1294	1376	1522	2446	2769	2188	-1064652.31	376100.982
1408181255515910	8/18/2014	0	17.33	56.67	0	0.67	9/1/2014	340	795	1091	1132	1223	2087	2362	1755	-1020105.397	354342.9917
1408191039395090	8/19/2014	0	3.33	83.33	0	5.33	9/1/2014	341	1463	1139	1101	1266	2454	2992	2191	-1067794.236	395821.9623
1409121410382880	9/12/2014	0	6	76.67	0	0	9/1/2014	342	1287	1329	1195	1199	2380	2074	1533	-1076210.352	397297.5186
1409111223127640	9/11/2014	0	7.33	90	0	0	9/1/2014	343	1295	1418	1318	1215	2555	1715	1231	-1083394.545	390661.821
1409111822384910	9/12/2014	0	4	80	0	0	9/1/2014	344	1453	1501	1437	1436	2724	2373	1790	-1081961.366	388917.6569
1406101208189550	6/10/2014	0	7.33	78.67	0	30.67	9/1/2014	345	769	1595	1862	2214	3165	3631	2991	-1025162.438	355771.1924
1406111316558200	6/11/2014	0	6.67	84.67	0	35.33	9/1/2014	346	722	1498	1573	1815	3242	3252	2377	-1056015.972	380172.855
1406121413427690	6/12/2014	0	4.67	88.67	0	36	9/1/2014	347	1068	1217	1281	1322	2742	2486	1715	-1051716.678	374004.7894
1406161348405840	6/16/2014	0	4	87.33	0	44	9/1/2014	348	1056	1306	1330	1451	3214	2718	1851	-1052603.967	374084.276
1406170952495330	6/17/2014	0	36.67	45.33	0	0	9/1/2014	349	611	1556	1956	2221	3136	3490	2598	-1026891.491	356435.0311
1406191349005330	6/19/2014	0	6	86	0	24	9/1/2014	350	1050	1181	1195	1404	2729	2620	1820	-1039498.653	387753.7589
1406031807586780	6/2/2014	0	7.33	86.67	0	38.67	9/1/2014	351	1127	1228	1278	1426	2591	3019	2202	-1025789.729	354412.1781
1406040707383280	6/4/2014	0	14.67	82	0	36	9/1/2014	352	801	1390	1506	1616	2503	2716	2107	-1032448.952	364034.3495
1406231108118680	6/23/2014	0	16	58	0	8.67	9/1/2014	353	852	1393	1517	1691	2776	3122	2388	-1057770.357	372026.0167
1407211028549510	7/21/2014	0	9.33	83.33	0	67.33	9/1/2014	354	942	1270	1339	1607	2470	3383	2488	-1053520.487	383484.1357
1407221229106820	7/22/2014	0	9.33	74	0	12.67	9/1/2014	355	1078	1243	1165	1268	2245	2400	1827	-1077532.981	395901.7351
1407221642052040	7/22/2014	0	14	68.67	0	0.67	9/1/2014	356	1357	1170	1134	1305	2409	2883	2202	-1079760.718	397622.4213
1407141516294690	7/14/2014	0	0.67	96	0	53.33	9/1/2014	357	983	1056	1058	1176	2623	2314	1470	-1061713.278	370262.9798
1407151329314440	7/15/2014	0	8.67	66	0	0	9/1/2014	358	1056	1345	1473	1602	2878	3004	2189	-1043513.704	370065.0993
1407161042187460	7/16/2014	0	6.67	50.67	0	32	9/1/2014	359	1036	1493	1688	1921	3144	3745	3017	-1051616.064	371871.6247
201441201317B1	10/2/2014	101	20.79207921	79.20792079	0	0	6/16/2016	883	393	1499	1635	2079	2894	3498	3074	-1185935.309	-261113.9253
201441201317B2	10/2/2014	101	17.82178218	82.17821782	0	0	6/16/2016	884	203	1579	1735	2171	2933	3425	2947	-1186336.301	-260705.4194
2014415200512B1	5/29/2014	101	0.99009901	86.13861386	0	85.14851485	6/16/2016	887	1274	1233	1151	1479	2367	3306	2497	-1555461.308	76481.84412
2014415200512B2	5/30/2014	101	0	38.61386139	0	4.95049505	6/16/2016	888	712	1306	1304	1491	2289	2446	1989	-1555576.863	76840.45732
2014415201519B1	4/9/2014	101	5.94059406	22.77227723	0	0	6/16/2016	891	556	1709	1930	2394	3318	3915	3121	-1565393.079	-91532.94458
2014415202701B1	5/28/2014	101	0	35.64356436	0	0	6/16/2016	892	992	1297	1372	1659	2671	3333	2693	-1561538.576	-1780.577077
2014415202701B2	5/28/2014	101	3.96039604	51.48514851	0	23.76237624	6/16/2016	893	985	1334	1453	1913	2887	3788	3130	-1560968.461	-1677.726077
2014417201114B2	9/3/2014	101	10.89108911	88.11881188	0	0	6/16/2016	894	358	1419	1551	2015	2868	3424	2804	-1277375.738	-232561.7142
2014417201114B3	9/3/2014	101	10.89108911	87.12871287	0	0	6/16/2016	895	68	1428	1606	2191	3101	3482	2990	-1276787.243	-232477.242
2014821200507B1	6/24/2014	101	33.66336634	31.68316832	0	0	6/16/2016	896	99	1500	1553	1792	2375	2624	2180	-860586.0951	-11398.47008
2014821200507B2	6/24/2014	101	17.82178218	48.51485149	0	0	6/16/2016	897	535	1275	1240	1382	2077	2516	2154	-860264.202	-11194.95968
2014821200516B1	6/25/2014	101	34.65346535	29.7029703	0	0	6/16/2016	898	187	1608	1735	2071	2842	3154	2589	-889654.1854	17781.52192
2014821200516B2	6/25/2014	101	32.67326733	36.63366337	0	0	6/16/2016	899	24	1595	1727	2060	2795	2885	2383	-889928.7562	18091.00492
2014845201511B1	8/5/2014	101	27.72277228	47.52475248	0	1.98019802	6/16/2016	900	723	994	907	866	1800	1679	1235	-1025262.906	275839.6283
2014845201511B2	8/6/2014	101	37.62376238	41.58415842	0	2.97029703	6/16/2016	901	424	1108	1067	1138	2112	1863	1446	-1024883.115	276181.2119
2014845201814B2	8/7/2014	101	7.92079208	80.1980198	0	1.98019802	6/16/2016	902	1198	948	855	754	2231	1866	1167	-960477.8564	287094.0758
2014877201416B1	6/3/2014	101	59.40594059	24.75247525	0	13.86138614	6/16/2016	903	167	1985	2250	2593	3460	4253	3475	-1101250.196	280471.7568
2014877201416B2	6/3/2014	101	55.44554455	30.69306931	0	0.99009901	6/16/2016	904	356	1894	2168	2509	3394	4155	3363	-1100931.8	280734.1503
2014877201419B1	6/4/2014	101	21.78217822	30.69306931	0	6.93069307	6/16/2016	905	667	1670	1935	2263	3081	3969	3130	-1100679.16	276504.5358
2014877201419B2	6/6/2014	101	37.62376238	37.62376238	0	8.91089109	6/16/2016	906	616	1553	1709	1974	2877	3748	3000	-1101121.079	276691.1335
2014877201614B3	9/7/2014	101	8.91089109	79.20792079	0	68.31683168	6/16/2016	907	1284	1130	1159	1487	2600	3216	2214	-1115300.878	243673.865
2014877201618B1	6/5/2014	101	26.73267327	52.47524752	0	7.92079208	6/16/2016	908	1004	1022	1053	1230	2344	2713	2197	-1100029.918	236858.4508
2014877201618B2	6/5/2014	101	47.52475248	25.74257426	0	0	6/16/2016	909	1105	1209	1299	1544	2768	3157	2456	-1099782.493	237230.3101
2014881100308B1	8/6/2014	101	4.95049505	78.21782178	0	44.55445545	6/16/2016	910	1117	1163	1103	1225	2413	2248	1813	-1071988.162	447895.4163
2014881100308B2	8/6/2014	101	9.9009901	62.37623762	0	4.95049505	6/16/2016	911	1300	1097	1007	1039	2263	2601	1880	-1072546.575	448199.0038
2014881100701B2	7/25/2014	101	4.95049505	83.16831683	0	54.45544554	6/16/2016	912	1114	1228	1277	1403	2620	2884	2064	-994874.1389	389022.0642
2014881100701B3	7/26/2014	101	12.87128713	57.42574257	0	21.78217822	6/16/2016	913	1050	1269	1357	1572	2686	3260	2527	-994442.6486	389241.1758
2014881100714B1	7/30/2014	101	3.96039604	93.06930693	0	68.31683168	6/16/2016	914	1219	1297	1295	1470	2582	3046	2235	-1013728.689	408222.9356
