PlotKey	DTVISIT	RECCOUNT	BSOILCOVER	TFOLCOVER	INVAFC	INVAGC	DTLOADED	wid	satvi0509	b2	b3	b4	b5	b6	b7	coords.x1	coords.x2
1406101319421530	6/10/2014	0	52.67	28	1.33	0	9/1/2014	36	561	1639	1965	2335	3105	4186	3640	-1366706.798	76254.58093
140611120650743	6/11/2014	0	4.67	26.67	0	1.33	9/1/2014	37	345	1797	2095	2759	3522	4583	3728	-1356381.186	73578.43299
140617082831291	6/17/2014	0	34.67	18	0	0	9/1/2014	38	113	1965	2274	2650	3226	4095	3286	-1342999.232	66776.68129
1406181330348190	6/18/2014	0	41.33	31.33	0	0	9/1/2014	39	484	1337	1606	2112	3147	3705	3230	-1376396.553	92595.49732
1406181654048900	6/18/2014	0	45.33	30.67	0	0	9/1/2014	40	578	1365	1466	1603	2436	2803	2465	-1372127.247	96498.81264
1406190833508170	6/19/2014	0	46	20	0	0	9/1/2014	41	317	1441	1583	1764	2475	2885	2464	-1377356.299	108457.6749
1406301434049180	6/30/2014	0	40.67	38	0	0	9/1/2014	42	375	1582	1950	2391	3386	4217	3578	-1383686.65	83659.88272
1407010958541070	7/1/2014	0	44	22.67	0	0	9/1/2014	43	391	1533	1722	1942	2739	3267	2657	-1383079.139	100182.811
1407011359396590	7/1/2014	0	30	19.33	0	0	9/1/2014	44	272	1695	1901	2097	2765	3478	3134	-1374382.605	107035.9361
1407021110319250	7/2/2014	0	24.67	40	1.33	2.67	9/1/2014	45	866	1434	1540	1842	3050	3484	2838	-1433148.621	91189.79304
1407091327429370	7/9/2014	0	2.67	72	0	0	9/1/2014	46	911	1034	982	1005	2198	2086	1550	-1423992.525	89607.63348
1407091558264620	7/9/2014	0	23.33	58	0	7.33	9/1/2014	47	1205	1189	1221	1458	2623	3292	2669	-1421809.624	93850.3867
1407100835142620	7/10/2014	0	32.67	34.67	0	0	9/1/2014	48	549	1323	1444	1709	2711	2975	2441	-1400495.302	117902.1178
1407101123133270	7/10/2014	0	19.33	52	0	0	9/1/2014	49	1127	1259	1441	1787	3205	3945	3306	-1410808.217	103042.1441
1407110851161560	7/11/2014	0	24.67	34	0	0	9/1/2014	50	405	1901	2179	2524	3397	4119	3334	-1401587.977	127341.3647
1407111439268520	7/11/2014	0	0.67	82	0	0	9/1/2014	51	1237	1019	957	906	2122	2221	1468	-1416823.832	105932.4542
1407120857393220	7/12/2014	0	8.67	36	0	0	9/1/2014	52	789	1372	1415	1603	2661	3241	2582	-1428690.728	95966.94446
1407121230032280	7/12/2014	0	38.67	28.67	0	0	9/1/2014	53	425	1584	1868	2461	3741	4556	4003	-1427815.534	80098.40598
140713090021702	7/13/2014	0	12.67	70.67	0	0	9/1/2014	54	952	1436	1627	2105	3176	4329	3693	-1415319.086	93656.90143
1407131203187740	7/13/2014	0	11.33	67.33	0	0.67	9/1/2014	55	968	1368	1472	1760	2734	3638	3054	-1416813.347	97606.45877
1407131642282050	7/13/2014	0	5.33	52.67	0	0	9/1/2014	56	1022	1169	1179	1256	2219	2515	1927	-1419781.411	97198.43422
140714093255536	7/14/2014	0	26	49.33	0	0	9/1/2014	57	409	1387	1510	1966	2843	3404	3038	-1390246.139	113400.2167
1406021237134790	6/2/2014	0	13.33	41.33	0	0	9/1/2014	58	982	1087	1084	1268	2221	2555	2019	-1415650.691	70610.40341
1406030838091400	6/3/2014	0	9.33	37.33	0	12.67	9/1/2014	59	1024	1237	1260	1490	2520	3190	2431	-1411220.009	68587.02637
