long	lat	DEPTH	K_sw
-109.8797226	34.5849991	128	0.0515
-108.5641632	40.2394447	88	0.0515
-111.0401917	39.2090569	2.5	0.0515
-107.9797211	38.6663895	65	0.0515
-114.2805557	36.6819458	19	0.0515
-107.9180527	38.5253334	43.5	0.0514
-110.9778671	39.2859383	11	0.0514
-107.8326111	40.2335815	131	0.0514
-108.7126541	41.6160622	98.5	0.0514
-107.9730301	38.6642761	18	0.0513
-107.7977027	38.4100517	59.5	0.0513
-108.9308319	39.2780571	21.5	0.0513
-108.1791687	37.4799995	107.5	0.0513
-109.405	40.3733333	122	0.0513
-109.9188919	34.4036102	105.5	0.0513
-111.1039429	37.8663597	36.5	0.0513
-108.5641632	40.2394447	62	0.0512
-109.9188919	34.4036102	72.5	0.0512
-108.5163879	39.0872231	89	0.0511
-108.7249985	41.6674995	2	0.0511
-114.5830536	36.6674995	46	0.0511
-107.9730301	38.6642761	42	0.0511
-111.2127762	39.6802788	168	0.0511
-111.0402222	39.2090569	10	0.0511
-110.1919479	34.5147209	111.5	0.051
-107.8890127	38.6012982	5	0.051
-110.1919479	34.5147209	128	0.051
-108.7619444	39.2372222	41.5	0.051
-108.5641632	40.2394447	112	0.051
-110.1888885	37.4850006	7	0.051
-111.0402222	39.2090556	16	0.051
-108.8141632	39.2519455	135	0.051
-107.7099991	40.1552773	67.5	0.051
-113.224411	37.4835892	88.5	0.051
-107.8209457	40.2544136	126.5	0.051
-108.9016647	39.2738876	27	0.051
-107.9158333	38.5880556	42	0.0509
-107.9502945	38.6104927	134	0.0509
-110.6456375	41.4393883	166	0.0509
-107.8551102	40.335247	108	0.0509
-107.7903691	38.401663	3.5	0.0509
-108.8972244	35.4930573	134.5	0.0509
-107.7903691	38.401663	13	0.0509
-108.9308319	39.2780571	47	0.0508
-111.6063919	38.3894463	122.5	0.0508
-106.4713898	39.8366661	31.5	0.0508
-108.7319412	36.6100006	104	0.0507
-107.7099991	40.1552773	114.5	0.0507
-107.9801267	38.6244917	39.5	0.0507
-113.224411	37.4835892	10	0.0507
-114.5830536	36.6674995	28	0.0507
-108.5641632	40.2394447	27	0.0507
-110.8841629	40.226944	110.5	0.0507
-107.9359861	38.5794927	127	0.0507
-109.2627792	41.6241684	24	0.0507
-108.6730556	36.7038889	45.5	0.0506
-107.0344467	36.2413902	24.5	0.0506
-110.4922256	39.2080574	103.5	0.0506
-113.224411	37.4835892	25.5	0.0506
-107.9388889	38.5308333	148.5	0.0506
-107.933625	38.5809649	62.5	0.0506
-107.9797211	38.6663895	33	0.0506
-110.8479691	39.1944084	118.5	0.0506
-107.1750031	40.2886124	79	0.0506
-107.843426	38.3799964	30	0.0506
-107.4005585	36.2841682	91.5	0.0506
-108.2020645	39.7849731	121.5	0.0505
-108.1103897	39.6677551	87	0.0505
-110.8068314	41.3241959	53.5	0.0505
-108.9691696	35.0011101	22.5	0.0505
-108.5641632	40.2394447	10.5	0.0505
-107.7099991	40.1552773	85	0.0505
-108.7126541	41.6160622	64	0.0505
-114.5830536	36.6674995	13	0.0503
-114.2847214	36.6811104	0.5	0.0503
-108.5641632	40.2394447	38	0.0503
-107.7903691	38.401663	36	0.0503
-107.9727936	38.6132965	84	0.0503
-109.6469421	42.4777794	144.5	0.0503
-107.0344467	36.2413902	117	0.0503
-115.0722222	36.1741667	142.5	0.0503
-107.7977027	38.4100517	30.5	0.0503
-111.1828308	37.7846947	88	0.0503
-114.460556	36.5769463	59.5	0.0503
-114.2805557	36.6819458	11	0.0503
-106.4713898	39.8366661	53.5	0.0502
-108.5311966	34.9042282	17.5	0.0502
-110.0810547	43.3862762	20	0.0502
-114.2805557	36.6819458	63	0.0502
-113.3177795	37.1341667	37	0.0502
-115.0666656	36.1805458	2.5	0.0502
-107.7099991	40.1552773	155	0.0501
-113.3397217	36.9911118	77.5	0.0501
-110.0763855	43.0888901	115	0.0501
-108.9702778	37.1116667	123	0.0501
-110.7286148	35.1119461	268	0.0501
-106.9805527	40.3436127	84	0.0501
-110.1919479	34.5147209	24	0.05
-110.9778671	39.2859383	64	0.05
-110.6456375	41.4393883	105.5	0.05
-106.4713898	39.8366661	171.5	0.0499
-110.0810547	43.3862762	52	0.0499
-107.7903691	38.401663	68.5	0.0499
-114.2805557	36.6819458	137.5	0.0499
-107.8551102	40.335247	69	0.0499
-107.9801267	38.6244917	20.5	0.0499
-114.5830536	36.6674995	5.5	0.0498
-115.0666656	36.1805458	34.5	0.0498
-108.9016647	39.2738876	69	0.0497
-108.8375015	35.1583328	182	0.0497
-108.9016647	39.2738876	178.5	0.0497
-108.5641632	40.2394447	38	0.0497
-113.224411	37.4835892	2.5	0.0497
-108.5641632	40.2394447	65	0.0497
-113.224411	37.4835892	46.5	0.0497
-110.1919479	34.5147209	14	0.0497
-115.0722222	36.1741667	105.5	0.0497
-113.140274	36.4480553	96.5	0.0497
-107.9180527	38.5253334	27	0.0497
-115.0722222	36.1741667	66	0.0496
-110.230835	42.6591682	91	0.0496
-108.7126541	41.6160622	31.5	0.0496
-108.5641632	40.2394447	18.5	0.0496
-107.9572093	38.6105754	131.5	0.0496
-108.7126541	41.6160622	11.5	0.0495
-108.9691696	35.0011101	76.5	0.0495
-114.2805557	36.6819458	76.5	0.0495
-110.0810547	43.3862762	69.5	0.0495
-110.9778671	39.2859383	35	0.0495
-110.7286148	35.1119461	32	0.0494
-109.8180542	38.8272209	115	0.0494
-110.719696	41.3633347	51	0.0494
-107.9388889	38.5308333	32.5	0.0494
-108.6730556	36.7038889	30.5	0.0494
-112.1369476	35.6652794	34	0.0494
-108.9691696	35.0011101	132	0.0494
-115.0722222	36.1741667	41.5	0.0494
-108.2141647	37.6938896	59.5	0.0494
-107.2937088	40.4535828	14	0.0494
-114.1361084	36.7688904	139.5	0.0493
-110.0810547	43.3862762	165	0.0493
-108.1872253	38.665554	128	0.0493
-113.3177795	37.1341667	113.5	0.0493
-108.3378983	39.8980255	170	0.0493
-107.2937088	40.4535828	84	0.0493
-107.7977027	38.4100517	86	0.0493
-108.9152778	39.2663889	38	0.0493
-110.7916641	39.4336128	0.5	0.0493
-107.5625	37.1072235	105.5	0.0493
-107.8890127	38.6012982	26	0.0492
-107.5625	37.1072235	70	0.0492
-111.0402222	39.2090569	20.5	0.0492
-113.3177795	37.1341667	62	0.0492
-107.5625	37.1072235	137	0.0492
-107.4981537	40.4202461	143	0.0492
-113.4694443	36.9911118	2.5	0.0491
-110.5504684	41.1436653	83	0.0491
-110.7286148	35.1119461	6.5	0.0491
-115.0722222	36.1741667	81.5	0.0491
-107.888443	40.3349686	142.5	0.049
-107.8333359	37.6166649	64.5	0.049
-110.0810547	43.3862762	34	0.049
-107.2266693	36.2224998	28	0.049
-110.5402756	41.5374985	105	0.049
-107.2937088	40.4535828	129.5	0.049
-107.5625	37.1072235	29	0.049
-110.8061142	39.5330544	65	0.049
-107.7172241	37.478611	29	0.0489
-106.4197235	39.5283318	28	0.0489
-107.4672241	39.1258316	116	0.0489
-108.8586111	39.2375	82	0.0489
-108.2942886	39.9224701	46	0.0489
-107.0720291	40.3394165	76	0.0488
-110.4333344	42.6749992	174.5	0.0488
-110.9778671	39.2859383	2	0.0488
-107.4005585	36.2841682	4	0.0488
-110.1888885	37.4850006	1.5	0.0488
-107.9359861	38.5794927	76.5	0.0488
-115.0666656	36.1805458	63.5	0.0488
-111.2874298	39.6191254	135	0.0487
-107.9797211	38.6663895	48.5	0.0487
-110.646698	41.4381371	143	0.0487
-107.6351089	40.4358025	182.5	0.0487
-107.9388889	38.5308333	48.5	0.0487
-110.7286148	35.1119461	70	0.0487
-107.7745361	38.4978004	13	0.0487
-107.4672241	39.1258316	69	0.0487
-107.4781265	37.0164108	47	0.0487
-109.8797226	34.5849991	92.5	0.0487
-110.8068314	41.3241959	88	0.0487
-107.5625	37.1072235	44.5	0.0486
-113.224411	37.4835892	67.5	0.0486
-108.3309555	39.9469147	32.5	0.0486
-114.4833298	36.6077766	96.5	0.0486
-108.7126541	41.6160622	2.5	0.0485
-107.9572093	38.6105754	55.5	0.0485
-107.8886795	38.6225201	4	0.0485
-107.9572093	38.6105754	100	0.0485
-108.6125	36.5236111	151.5	0.0484
-110.8061142	39.5330544	29.5	0.0484
-110.1919479	34.5147209	40.5	0.0484
-107.888443	40.3349686	16.5	0.0484
-109.1988907	33.9716682	68.5	0.0484
-108.6469421	40.8886108	90	0.0484
-107.8890127	38.6012982	15	0.0483
-109.6469421	42.4777794	54.5	0.0483
-113.1222229	37.1988907	98	0.0483
-107.4981537	40.4202461	107.5	0.0483
-108.5641632	40.2394447	37	0.0483
-108.7249985	41.6674995	102.5	0.0483
-107.8883184	38.6178535	73.5	0.0483
-107.4981537	40.4202461	76.5	0.0483
-114.2805557	36.6819458	80	0.0483
-109.4747238	39.4752769	139.5	0.0482
-109.9188919	34.4036102	44.5	0.0482
-113.3111115	36.9944458	2.5	0.0482
-108.3100815	35.8872604	128	0.0481
-110.0283356	34.540554	125.5	0.0481
-109.6002808	42.6652794	142.5	0.0481
-108.3309555	39.9469147	31	0.0481
-107.4005585	36.2841682	53.5	0.0481
-111.508667	34.9694176	67	0.0481
-108.5641632	40.2394447	16	0.0481
-108.6730556	36.7038889	64.5	0.0481
-109.405	40.3733333	39.5	0.048
-107.9727936	38.6132965	49.5	0.048
-110.8068314	41.3241959	136	0.048
-108.5641632	40.2394447	16	0.0479
-113.1222229	37.1988907	73.5	0.0479
-107.888443	40.3349686	49.5	0.0479
-109.8180542	38.8272209	13	0.0479
-111.7555542	35.6575012	46.5	0.0479
-112.1369476	35.6652794	22	0.0479
-109.9547195	42.8711128	152.5	0.0479
-108.1791687	37.4799995	139.5	0.0479
-110.1919479	34.5147209	61	0.0479
-111.4355545	35.0316658	135.5	0.0479
-114.4597244	36.5736122	39	0.0479
-110.7191696	35.123333	30.5	0.0478
-106.4197235	39.5283318	44.5	0.0478
-107.8551102	40.335247	20.5	0.0478
-110.5504684	41.1436653	114.5	0.0477
-107.3199997	37.0741653	24	0.0477
-107.8209457	40.2544136	159	0.0477
-111.1963577	37.8371391	16.5	0.0477
-110.7286148	35.1119461	146	0.0477
-108.2020645	39.7849731	44.5	0.0477
-110.1888885	37.4850006	0.5	0.0477
-107.2266693	36.2224998	12.5	0.0477
-108.3378983	39.8980255	189	0.0477
-111.2127762	39.6802788	152.5	0.0477
-107.833252	38.3878326	106.5	0.0476
-111.2495278	39.4156583	117	0.0476
-107.8551102	40.335247	42	0.0476
-113.4736099	36.9988899	66	0.0476
-110.7286148	35.1119461	108	0.0476
-111.3777771	34.998333	122	0.0476
-110.7191696	35.123333	6.5	0.0476
-110.1919479	34.5147209	85	0.0476
-115.058609	36.1588821	2.5	0.0475
-114.2847214	36.6811104	92.5	0.0475
-107.0636978	40.3119164	97.5	0.0475
-110.7286148	35.1119461	179	0.0475
-107.0636978	40.3119164	148	0.0475
-114.2805557	36.6819458	155	0.0475
-111.4347229	35.0294456	63.5	0.0475
-111.5282288	35.6650276	75	0.0475
-108.9702778	37.1116667	69.5	0.0474
-113.1222229	37.1988907	48	0.0474
-109.9355545	41.5369453	23	0.0474
-108.8519444	37.1444444	137	0.0474
-107.0636978	40.3119164	244	0.0474
-107.2266693	36.2224998	73.5	0.0474
-109.6897202	42.8730545	39.5	0.0473
-107.79673	38.3404961	131.5	0.0473
-110.3440323	35.789753	4	0.0473
-108.5163879	39.0872231	54.5	0.0473
-114.1291656	36.7705574	33	0.0473
-113.3177795	37.1341667	140	0.0473
-106.9805527	40.3436127	33	0.0473
-109.405	40.3733333	83.5	0.0472
-111.1039429	37.8663597	22.5	0.0472
-107.8744431	39.1022224	149.5	0.0472
-108.6469421	40.8886108	63.5	0.0472
-108.1872253	38.665554	94.5	0.0472
-107.4008331	36.2861099	1	0.0472
-108.206665	37.6963882	137	0.0472
-113.2291641	36.9491653	17.5	0.0471
-108.9691696	35.0011101	12.5	0.0471
-107.0344467	36.2413902	7.5	0.0471
-108.7736111	39.265	53.5	0.0471
-108.3309555	39.9469147	61.5	0.0471
-107.833252	38.3878326	76	0.0471
-108.9702778	37.1116667	9	0.0471
-114.6930542	36.7194443	19	0.0471
-108.0096287	38.7417675	51.5	0.047
-108.9702778	37.1116667	30.5	0.047
-111.3511124	34.7874985	74	0.047
-110.7191696	35.123333	67	0.0469
-108.7166667	37.065	99.5	0.0469
-111.3225021	39.0730553	63.5	0.0469
-110.4333344	42.6749992	92	0.0468
-114.460556	36.5769463	47	0.0468
-114.4833298	36.6077766	138.5	0.0468
-107.7172241	37.478611	45.5	0.0468
-113.1222229	37.1988907	23	0.0468
-107.2892609	40.4571915	57.5	0.0468
-107.888443	40.3349686	33	0.0468
-113.140274	36.4480553	57.5	0.0468
-110.0763855	43.0888901	145	0.0468
-109.5555573	39.4933319	133	0.0468
-110.8057785	41.3238068	49.5	0.0468
-108.523613	35.3480568	42	0.0467
-107.8320541	40.3155251	71	0.0467
-107.1750031	40.2886124	51	0.0467
-108.9702778	37.1116667	2.5	0.0467
-110.5248861	42.8272889	63.5	0.0467
-105.8459702	40.3979721	35	0.0467
-106.9711075	37.0202789	109	0.0467
-111.621109	35.603611	112.5	0.0467
-109.9672241	34.1766663	53.5	0.0466
-109.405	40.3733333	66	0.0466
-110.7927528	42.2943389	11.5	0.0466
-109.8488922	38.8280563	3.5	0.0466
-107.3045425	40.7849655	6.5	0.0466
-108.3309555	39.9469147	18	0.0466
-110.8057785	41.3238068	90	0.0466
-109.8180542	38.8272209	36.5	0.0465
-108.6552811	41.6613884	86	0.0465
-108.3309555	39.9469147	65.5	0.0465
-110.1627808	39.0183334	179.5	0.0465
-108.6436081	35.5977783	170.5	0.0465
-107.8883184	38.6178535	3	0.0465
-110.7927528	42.2943389	46	0.0465
-107.888443	40.3349686	84	0.0464
-108.8647232	41.3777771	2.5	0.0464
-108.2074966	37.6966667	137	0.0464
-105.8705521	39.9288902	9	0.0464
-108.1103897	39.6677551	38	0.0464
-111.7555542	35.6575012	3.5	0.0464
-115.058609	36.1588821	10	0.0464
-114.1291656	36.7705574	118.5	0.0463
-108.6516647	36.6311111	42.5	0.0463
-107.3199997	37.0741653	12.5	0.0463
-107.8883184	38.6178535	33	0.0463
-109.5555573	39.4933319	48	0.0463
-107.843426	38.3799964	69	0.0463
-108.8519444	37.1444444	70	0.0462
-115.0722222	36.1741667	2.5	0.0462
-107.4005585	36.2841682	27	0.0462
-108.7319412	36.6100006	76	0.0462
-107.843426	38.3799964	4	0.0462
-115.0666656	36.1805458	95	0.0462
-107.833252	38.3878326	39	0.0462
-108.2319412	37.6844444	99	0.0462
-110.2566681	42.853054	90	0.0462
-108.3309555	39.9469147	117	0.0462
-107.8551102	40.335247	6.5	0.0462
-108.3019409	38.146389	109.5	0.0462
-108.9308319	39.2780571	70	0.0462
-114.6769409	36.7125015	2.5	0.0462
-109.6002808	42.6652794	123.5	0.0462
-110.4333344	42.6749992	144.5	0.0461
-111.6063919	38.3894463	93.5	0.0461
-110.1131363	41.5707779	171.5	0.0461
-107.933625	38.5809649	32.5	0.0461
-107.359726	36.4891663	61	0.0461
-107.7172241	37.478611	68.5	0.0461
-110.5402756	41.5374985	64.5	0.0461
-106.8977814	40.0422211	204.5	0.0461
-110.0763855	43.0888901	85	0.0461
-109.6916656	42.8697205	44	0.0461
-108.5311966	34.9042282	41.5	0.0461
-109.6897202	42.8730545	79	0.0461
-108.6516647	36.6311111	2.5	0.0461
-107.9797211	38.6663895	15	0.0461
-111.297226	37.5602493	206	0.046
-108.6938858	37.6755562	32.5	0.046
-108.2074966	37.6966667	110.5	0.046
-110.4333344	42.6749992	34	0.046
-108.8647232	41.3777771	14	0.046
-108.3309555	39.9469147	171.5	0.046
-110.6456375	41.4393883	35.5	0.046
-108.9308319	39.2780571	132	0.046
-107.3045425	40.7849655	16.5	0.046
-108.8647232	41.3777771	7.5	0.046
-108.1222706	38.6990731	39.5	0.0459
-108.1872253	38.665554	66	0.0459
-106.9944458	37.0224991	58.5	0.0459
-111.7555542	35.6575012	28	0.0459
-108.4813919	37.1586113	25.5	0.0459
-107.5625	37.1072235	15	0.0459
-111.5912857	35.5700264	32	0.0459
-108.3100815	35.8872604	86.5	0.0459
-111.4355545	35.0316658	105	0.0459
-115.058609	36.1588821	21.5	0.0459
-108.3309555	39.9469147	176	0.0458
-111.3511124	34.7874985	118.5	0.0458
-111.7555542	35.6575012	12.5	0.0458
-107.3199997	37.0741653	41	0.0458
-108.0096287	38.7417675	38	0.0458
-107.9022903	38.4723282	35.5	0.0458
-108.6552811	41.6613884	66	0.0457
-110.0799713	43.3605843	159	0.0457
-108.2319412	37.6844444	72.5	0.0457
-107.8233337	37.8527794	6	0.0457
-107.9797211	38.6663895	2.5	0.0457
-115.0772324	37.2121925	56	0.0457
-110.7286148	35.1119461	211	0.0457
-110.7191696	35.123333	143.5	0.0457
-110.8841629	40.226944	141	0.0457
-110.8057785	41.3238068	133	0.0457
-110.4333344	42.6749992	59.5	0.0456
-107.9467923	38.6102421	5	0.0456
-108.206665	37.6963882	48	0.0456
-107.9525978	38.5864092	28	0.0456
-106.9805527	40.3436127	14	0.0456
-108.7736111	39.265	36.5	0.0456
-110.8061142	39.5330544	190	0.0456
-110.3046389	40.1795833	41.5	0.0456
-110.7191696	35.123333	105	0.0455
-110.2641678	41.9016685	151	0.0455
-110.8061142	39.5330544	164	0.0455
-108.653	37.245	116.5	0.0455
-110.7916641	39.4336128	96	0.0455
-114.4827805	36.6169434	44.5	0.0455
-110.0810547	43.3862762	10	0.0455
-108.2020645	39.7849731	167	0.0455
-115.0722222	36.1741667	11.5	0.0455
-108.6516647	36.6311111	117.5	0.0455
-107.833252	38.3878326	130.5	0.0455
-109.9672241	34.1766663	20.5	0.0455
-107.2266693	36.2224998	2.5	0.0454
-108.653	37.245	64.5	0.0454
-115.1930542	36.2405548	82.5	0.0454
-107.562851	37.1072426	51	0.0454
-107.5447235	39.0416679	76	0.0454
-112.375	37.25	139.5	0.0454
-108.206665	37.6963882	100.5	0.0454
-109.5311111	39.7316667	9	0.0454
-108.3378983	39.8980255	72.5	0.0453
-108.3600006	38.4338875	46.5	0.0453
-110.0763855	43.0888901	57.5	0.0453
-109.5311111	39.7316667	20.5	0.0453
-110.8061142	39.5330544	5.5	0.0453
-107.2937088	40.4535828	2.5	0.0453
-108.2020645	39.7849731	80	0.0453
-114.6930542	36.7194443	46	0.0453
-107.0636978	40.3119164	71.5	0.0453
-109.9494476	35.4872208	66	0.0453
-108.3019409	38.146389	76.5	0.0453
-107.8209457	40.2544136	67.5	0.0453
-110.8061142	39.5330544	135.5	0.0452
-110.646698	41.4381371	69.5	0.0452
-107.4005585	36.2841682	13	0.0452
-110.2619476	41.2430573	54.5	0.0452
