long	lat	DEPTH	K_sw
-107.2892609	40.4571915	105.5	0.0632
-110.0755539	34.8694458	98.5	0.0625
-108.9691696	35.0036125	91.5	0.0624
-107.8387222	40.2499695	146.5	0.0612
-110.0755539	34.8694458	130.5	0.061
-109.2627792	41.6241684	71	0.061
-109.2627792	41.6241684	113	0.061
-114.5830536	36.6674995	90.5	0.0607
-110.0755539	34.8694458	68.5	0.0604
-109.2627792	41.6241684	47	0.0599
-111.223114	37.8640556	18.5	0.0598
-114.2805557	36.6819458	107.5	0.0598
-113.4736099	36.9988899	2.5	0.0598
-111.223114	37.8640556	27	0.0598
-108.9691696	35.0036125	72.5	0.0597
-108.609726	41.5719452	68	0.0595
-114.2805557	36.6819458	47.5	0.0595
-115.058609	36.1588821	78.5	0.0594
-112.2013855	37.0438881	146.5	0.0593
-110.2566681	42.853054	127.5	0.0592
-108.9691696	35.0036125	29	0.0591
-109.8797226	34.5849991	167.5	0.0589
-110.2566681	42.853054	177.5	0.0588
-109.2627792	41.6241684	90	0.0587
-114.1291656	36.7705574	90.5	0.0586
-114.2805557	36.6819458	26.5	0.0586
-110.0755539	34.8694458	47	0.0584
-114.2805557	36.6819458	24	0.0582
-107.0344467	36.2413902	144.5	0.0582
-114.2805557	36.6819458	33.5	0.0582
-112.2013855	37.0438881	112.5	0.0581
-108.609726	41.5719452	89	0.0581
-108.9691696	35.0036125	57.5	0.058
-111.1963577	37.8371391	24.5	0.058
-108.7249985	41.6674995	141	0.058
-114.541954	38.0957909	135.5	0.058
-110.1627808	39.0183334	128.5	0.0579
-113.2963867	37.1674995	115	0.0577
-114.1291656	36.7705574	65	0.0577
-113.2963867	37.1674995	61	0.0575
-112.2013855	37.0438881	6.5	0.0575
-112.2013855	37.0438881	1.5	0.0574
-115.0772324	37.2121925	129.5	0.0573
-108.7158333	36.6486111	68.5	0.0573
-114.541954	38.0957909	99	0.0572
-107.0344467	36.2413902	48	0.057
-113.2963867	37.1674995	145	0.057
-108.9691696	35.0036125	4	0.057
-115.058609	36.1588821	121.5	0.0569
-114.541954	38.0957909	57	0.0569
-107.7589245	38.4894118	13.5	0.0567
-108.7158333	36.6486111	30.5	0.0566
-108.5163879	39.0872231	117	0.0565
-114.4833298	36.6077766	59.5	0.0565
-113.2963867	37.1674995	26.5	0.0564
-107.7589245	38.4894118	56	0.0563
-107.7589245	38.4894118	34	0.0563
-107.8890127	38.6012982	39	0.0563
-108.5163879	39.0872231	139.5	0.0563
-108.8311111	39.2544444	78	0.0562
-108.7158333	36.6486111	84	0.0561
-114.541954	38.0957909	27.5	0.0559
-109.6238861	37.9609985	113.5	0.0559
-112.1369476	35.6652794	3.5	0.0558
-111.1039429	37.8663597	19.5	0.0558
-107.359726	36.4891663	96.5	0.0558
-111.0402222	39.2090569	73	0.0557
-109.6469421	42.4777794	117	0.0556
-113.3177795	37.1341667	85	0.0556
-110.1919479	34.5147209	146	0.0556
-111.0402222	39.2090569	53.5	0.0556
-108.5311966	34.9042282	124.5	0.0556
-107.0527802	39.461113	136	0.0555
-112.2013855	37.0438881	69	0.0555
-112.1369476	35.6652794	55	0.0555
-107.7589245	38.4894118	4.5	0.0555
-108.7158333	36.6486111	15	0.0554
-114.2847214	36.6811104	26.5	0.0554
-108.7961111	39.2483333	78	0.0552
-111.0402222	39.2090556	27.5	0.0552
-109.9355545	41.5369453	49.5	0.0552
-114.2805557	36.6819458	14	0.0552
-109.6238861	37.9609985	69.5	0.0551
-113.4736099	36.9988899	118	0.0551
-114.2847214	36.6811104	13	0.0551
-109.6916656	42.8697205	76.5	0.055
-108.7158333	36.6486111	47	0.055
-108.9691696	35.0036125	135	0.055
-109.6238861	37.9609985	28.5	0.055
-111.0402222	39.2090569	65.5	0.055
-108.9691696	35.0036125	110.5	0.0549
-112.2013855	37.0438881	95.5	0.0549
-108.7619444	39.2372222	102	0.0549
-106.8216629	40.394722	73.5	0.0548
-114.5830536	36.6674995	66	0.0548
-111.0402222	39.2090569	43	0.0548
-110.0283356	34.540554	81.5	0.0547
-112.2013855	37.0438881	18	0.0547
-107.9180527	38.5253334	25.5	0.0547
-107.9801267	38.6244917	138.5	0.0547
-109.6238861	37.9609985	69.5	0.0546
-111.1963577	37.8371391	12.5	0.0546
-107.9388889	38.5308333	95	0.0546
-107.9801267	38.6244917	105	0.0546
-111.223114	37.8640556	10.5	0.0545
-107.0527802	39.461113	157.5	0.0545
-109.8180542	38.8272209	94.5	0.0545
-108.8311111	39.2544444	57	0.0545
-112.2013855	37.0438881	37	0.0545
-107.9801267	38.6244917	66.5	0.0545
-111.0402222	39.2090556	78	0.0544
-111.0402222	39.2090556	50.5	0.0544
-110.1888885	37.4850006	6.5	0.0544
-108.9152778	39.2663889	100	0.0544
-108.7961111	39.2483333	121	0.0543
-108.5311966	34.9042282	75	0.0543
-110.0283356	34.540554	47	0.0543
-108.1103897	39.6677551	59.5	0.0543
-107.9467923	38.6102421	121.5	0.0542
-111.0402222	39.2090556	122.5	0.0542
-109.4683304	39.3619461	133.5	0.0542
-108.8141632	39.2519455	99	0.0541
-108.7249985	41.6674995	30.5	0.0541
-114.541954	38.0957909	12.5	0.0541
-108.7249985	41.6674995	11	0.054
-112.9977798	37.3858337	115.5	0.054
-108.7961111	39.2483333	57	0.054
-108.5641632	40.2394447	121	0.0539
-114.2805557	36.6819458	5	0.0539
-113.4736099	36.9988899	20	0.0538
-111.1828308	37.7846947	108	0.0538
-106.8216629	40.394722	92.5	0.0538
-107.9292526	38.5385818	15.5	0.0538
-107.0527802	39.461113	118	0.0537
-111.0401917	39.2090569	14.5	0.0537
-115.058609	36.1588821	47	0.0537
-108.3005556	38.8708333	65.5	0.0537
-113.2963867	37.1674995	42	0.0537
-108.5163879	39.0872231	167.5	0.0537
-112.5	37.3722229	136	0.0536
-110.5402756	41.5374985	135.5	0.0536
-109.8488922	38.8280563	2.5	0.0535
-108.8311111	39.2544444	110	0.0535
-107.9467923	38.6102421	81	0.0534
-114.1361084	36.7688904	77.5	0.0534
-108.7158333	36.6486111	2.5	0.0534
-108.8141632	39.2519455	75.5	0.0534
-107.933625	38.5809649	134	0.0534
-112.5	37.3722229	109.5	0.0534
-111.0401917	39.2090569	47	0.0533
-111.0401917	39.2090569	33	0.0532
-107.9467923	38.6102421	51.5	0.0532
-108.5641632	40.2394447	89	0.0532
-107.2266693	36.2224998	110.5	0.0531
-114.541954	38.0957909	2.5	0.0531
-113.224411	37.4835892	117	0.053
-106.9805527	40.3436127	198	0.053
-114.5830536	36.6674995	127.5	0.0529
-107.7745361	38.4978004	114	0.0529
-108.9691696	35.0011101	33	0.0529
-107.933625	38.5809649	100.5	0.0529
-110.539444	41.540554	127	0.0529
-107.2937088	40.4535828	43.5	0.0529
-111.508667	34.9694176	38	0.0529
-108.9308319	39.2780571	98	0.0529
-107.9525978	38.5864092	99.5	0.0529
-108.9702778	37.1116667	164	0.0528
-111.0402222	39.2090556	0	0.0528
-110.2641678	41.9016685	185	0.0528
-108.2942886	39.9224701	81.5	0.0528
-107.9158333	38.5880556	119	0.0528
-111.1963577	37.8371391	5	0.0527
-115.0666656	36.1805458	9	0.0527
-115.0666656	36.1805458	18	0.0526
-106.8216629	40.394722	45.5	0.0526
-107.9158333	38.5880556	69	0.0526
-114.2847214	36.6811104	2.5	0.0526
-113.3177795	37.1341667	11.5	0.0525
-114.5830536	36.6674995	17.5	0.0524
-108.7249985	41.6674995	59.5	0.0524
-113.4736099	36.9988899	41.5	0.0524
-107.0527802	39.461113	97	0.0524
-114.4597244	36.5736122	54.5	0.0524
-107.0720291	40.3394165	40.5	0.0523
-110.0755539	34.8694458	19.5	0.0523
-108.9016647	39.2738876	103	0.0523
-108.3005556	38.8708333	103	0.0523
-109.405	40.3733333	101.5	0.0522
-109.7247238	42.5913887	112.5	0.0522
-107.9292526	38.5385818	28	0.0522
-107.7745361	38.4978004	47	0.0521
-111.0402222	39.2090569	25	0.0521
-113.2963867	37.1674995	85.5	0.0521
-108.9691696	35.0036125	151	0.0521
-107.8209457	40.2544136	89.5	0.0521
-112.1369476	35.6652794	11.5	0.052
-108.9016647	39.2738876	7	0.052
-111.0401917	39.2090569	64	0.052
-108.5641632	40.2394447	67	0.052
-107.7903691	38.401663	42	0.052
-110.0810547	43.3862762	128	0.052
-107.9525978	38.5864092	46	0.052
-111.1963577	37.8371391	0.5	0.0519
-108.6516647	36.6311111	10	0.0519
-108.9152778	39.2663889	61	0.0519
-108.7961111	39.2483333	48	0.0519
-108.8141632	39.2519455	48.5	0.0519
-113.140274	36.4480553	127	0.0519
-109.405	40.3733333	142	0.0518
-108.9016647	39.2738876	47.5	0.0518
-110.1080551	42.6925011	147.5	0.0518
-113.140274	36.4480553	80	0.0518
-108.7619444	39.2372222	65.5	0.0517
-107.8551102	40.335247	158.5	0.0517
-113.4694443	36.9911118	25	0.0517
-107.8320541	40.3155251	172.5	0.0517
-108.9016647	39.2738876	135	0.0516
-110.0810547	43.3862762	91	0.0516
-111.0402222	39.2090569	39	0.0516
